Air Quality Index,Water Quality Index,Deforestation loss(Mha),Label
464.241,58.509,18.318121,Extremely Bad
35.409,93.686,10.051035,Moderately Good
3.706,67.798,16.637799,Moderately Bad
48.351,52.763,13.207033,Moderately Good
12.855,88.08,13.652626,Moderately Good
295.831,74.0,20.23026,Extremely Bad
90.122,30.371,11.704213,Extremely Good
4.333,12.163,11.425945,Extremely Good
365.752,0.256,13.233623,Moderately Good
470.444,46.701,24.297302,Moderately Bad
425.392,40.685,20.249823,Moderately Bad
197.575,90.044,16.274931,Moderately Bad
195.108,86.036,10.860881,Moderately Good
166.161,57.766,23.258683,Moderately Bad
326.818,72.025,20.57235,Extremely Bad
409.745,12.014,11.502008,Moderately Good
494.295,21.735,10.568906,Moderately Good
407.879,68.016,24.815164,Extremely Bad
117.94,23.725,13.750673,Extremely Good
133.949,18.234,20.117425,Moderately Good
150.672,82.206,15.559187,Moderately Bad
495.62,31.209,19.256809,Moderately Bad
59.215,73.77,24.141144,Moderately Bad
218.452,66.746,20.064993,Moderately Bad
250.734,60.21,23.783474,Extremely Bad
465.757,47.057,17.067002,Moderately Bad
262.782,3.1,11.086818,Moderately Good
137.869,93.707,20.348246,Moderately Bad
180.859,29.076,19.163396,Moderately Good
229.127,53.734,10.499671,Moderately Good
202.823,66.235,19.950488,Moderately Bad
276.198,44.322,15.972732,Moderately Bad
105.164,51.051,17.635853,Moderately Bad
265.82,18.743,24.92728,Moderately Bad
385.793,89.101,10.039445,Moderately Bad
370.164,6.38,10.900333,Moderately Good
491.986,54.363,19.501106,Extremely Bad
470.93,27.03,13.64972,Moderately Good
235.427,88.617,16.32978,Moderately Bad
2.905,74.712,16.009368,Moderately Bad
242.133,22.08,23.909174,Moderately Good
479.634,38.532,23.529274,Moderately Bad
267.218,18.439,20.091979,Moderately Bad
477.333,1.193,15.70274,Moderately Bad
80.989,84.016,23.467495,Moderately Bad
450.092,97.55,16.009233,Extremely Bad
144.529,3.09,17.111327,Moderately Good
497.587,99.744,24.049868,Extremely Bad
72.369,48.163,16.621693,Moderately Good
167.452,8.47,22.801724,Moderately Good
481.934,18.482,11.825041,Moderately Good
359.595,80.497,15.880607,Extremely Bad
143.075,25.786,19.388348,Moderately Good
52.959,44.141,15.090888,Moderately Good
477.031,37.407,21.987268,Moderately Bad
23.587,76.008,14.607527,Moderately Good
41.391,59.055,15.594362,Moderately Bad
336.869,86.859,11.211273,Moderately Bad
161.063,67.939,20.224906,Moderately Bad
269.154,39.97,23.850979,Moderately Bad
299.184,64.74,11.507818,Moderately Bad
366.829,52.239,13.485702,Moderately Bad
78.239,13.565,13.305751,Extremely Good
393.41,36.715,12.540098,Moderately Good
93.567,60.151,16.001629,Moderately Bad
449.859,26.76,10.09284,Moderately Good
71.233,96.606,15.85714,Moderately Bad
259.934,14.797,18.898395,Moderately Bad
436.524,71.392,11.27875,Moderately Bad
145.703,58.834,10.043251,Moderately Good
86.706,63.914,24.857848,Moderately Bad
314.373,80.955,13.548019,Moderately Bad
271.541,67.88,23.486203,Extremely Bad
395.832,39.834,22.316942,Moderately Bad
163.472,48.979,20.180646,Moderately Good
172.277,45.062,13.020518,Extremely Good
442.145,3.456,14.325975,Moderately Good
468.43,20.48,15.479887,Moderately Bad
311.062,67.177,19.94578,Extremely Bad
410.566,71.11,17.161805,Extremely Bad
410.316,20.348,22.037003,Moderately Bad
97.793,25.776,22.075302,Moderately Good
213.103,33.829,19.062848,Moderately Good
348.312,82.854,19.181847,Extremely Bad
261.585,63.691,20.960688,Extremely Bad
321.714,20.486,24.71355,Moderately Bad
6.55,62.083,11.592933,Moderately Good
202.304,35.842,24.019922,Moderately Good
426.85,95.059,23.467168,Extremely Bad
406.751,87.813,11.714944,Moderately Bad
114.468,86.481,23.917426,Moderately Bad
27.918,15.47,13.709365,Extremely Good
432.167,8.279,12.075402,Moderately Good
168.576,3.591,16.300365,Moderately Good
21.316,97.078,12.749921,Moderately Good
101.293,94.724,15.608641,Moderately Bad
347.035,43.062,23.659222,Moderately Bad
278.653,93.939,13.386888,Moderately Bad
403.526,68.121,16.704732,Extremely Bad
300.915,50.004,17.756643,Extremely Bad
307.152,19.577,11.502362,Moderately Good
177.428,62.057,23.332839,Moderately Bad
175.566,80.068,22.748675,Moderately Bad
433.805,63.675,19.527876,Extremely Bad
241.414,97.481,23.431304,Moderately Bad
454.627,9.524,18.65683,Moderately Bad
447.3,25.483,18.431336,Moderately Bad
406.86,1.895,13.310102,Moderately Good
156.489,74.501,13.739068,Moderately Good
284.671,71.109,18.993697,Extremely Bad
136.422,49.55,16.743244,Moderately Good
31.617,35.958,15.741977,Moderately Good
163.101,52.036,14.88171,Moderately Good
83.517,10.547,24.794775,Moderately Good
439.793,18.21,22.559125,Moderately Bad
271.234,27.916,21.106364,Moderately Bad
351.745,66.942,17.161035,Extremely Bad
388.312,20.615,24.863236,Moderately Bad
268.187,6.062,16.825796,Moderately Bad
202.632,38.003,14.838026,Extremely Good
18.91,73.698,14.773965,Moderately Good
138.229,76.137,12.566615,Moderately Good
466.642,68.657,14.972388,Moderately Bad
119.956,3.402,16.854853,Moderately Good
334.964,2.493,15.641895,Moderately Bad
42.237,19.086,19.264464,Moderately Good
390.002,63.11,11.839395,Moderately Bad
399.028,70.16,11.477278,Moderately Bad
83.975,86.945,23.506643,Moderately Bad
371.433,78.326,12.412517,Moderately Bad
320.204,39.901,18.782136,Moderately Bad
33.762,97.141,12.07053,Moderately Good
393.069,57.038,20.768382,Extremely Bad
52.927,59.84,22.14577,Moderately Bad
333.632,6.015,12.980103,Moderately Good
363.68,51.451,14.857815,Moderately Bad
244.072,67.923,10.511604,Moderately Good
130.922,71.458,22.615945,Moderately Bad
392.951,46.403,12.710397,Moderately Good
390.193,89.318,20.872593,Extremely Bad
207.206,84.694,10.773532,Moderately Good
480.029,92.817,11.44234,Moderately Bad
409.603,89.23,23.590348,Extremely Bad
283.396,58.157,22.961137,Extremely Bad
6.017,54.36,13.659138,Moderately Good
479.61,23.372,21.226955,Moderately Bad
141.727,67.341,14.968417,Moderately Good
379.852,28.093,10.405814,Moderately Good
138.619,5.102,19.76668,Moderately Good
274.127,75.99,19.491553,Extremely Bad
454.81,1.398,18.265452,Moderately Bad
40.068,53.687,15.985775,Moderately Bad
448.898,88.616,20.738923,Extremely Bad
466.938,34.572,18.39123,Moderately Bad
369.199,59.688,24.614375,Extremely Bad
19.224,63.395,21.595531,Moderately Bad
211.613,93.901,20.738307,Moderately Bad
347.615,77.095,14.682299,Moderately Bad
50.923,51.228,12.901442,Moderately Good
391.031,84.386,11.523886,Moderately Bad
197.567,75.232,14.380119,Moderately Good
46.535,55.452,13.71474,Moderately Good
265.154,61.021,11.505471,Moderately Bad
482.416,81.783,24.557184,Extremely Bad
154.336,37.726,18.606971,Moderately Good
499.54,35.745,21.883693,Moderately Bad
367.013,56.322,21.879432,Extremely Bad
378.709,47.754,10.948371,Moderately Good
335.833,75.019,17.385724,Extremely Bad
480.952,59.292,23.532401,Extremely Bad
376.614,17.258,19.488845,Moderately Bad
379.652,11.674,22.38058,Moderately Bad
263.806,57.002,17.392979,Extremely Bad
56.36,96.999,24.889114,Moderately Bad
25.63,72.798,18.596046,Moderately Bad
402.884,76.824,11.709191,Moderately Bad
37.5,80.21,21.073896,Moderately Bad
177.146,62.717,18.616592,Moderately Bad
445.5,35.914,20.022252,Moderately Bad
402.466,97.382,18.413441,Extremely Bad
480.331,39.185,19.908586,Moderately Bad
429.981,51.396,14.388293,Moderately Bad
397.411,84.929,20.086495,Extremely Bad
434.409,76.173,20.852193,Extremely Bad
460.124,13.132,16.952838,Moderately Bad
188.084,60.188,21.000047,Moderately Bad
333.644,61.445,23.090257,Extremely Bad
92.819,83.408,14.939313,Moderately Good
196.937,41.991,11.431376,Extremely Good
205.944,51.806,18.559071,Moderately Bad
189.042,84.443,21.355849,Moderately Bad
406.641,24.626,19.669451,Moderately Bad
45.575,68.671,15.002282,Moderately Bad
225.839,97.72,11.025869,Moderately Good
23.701,24.683,19.820828,Moderately Good
